index,lat_deg,lon_deg,cumulative_surface_distance_km,cumulative_flight_distance_km,density_kg_m3,temperature_k,pressure_pa
687,43.513342,152.160538,9143.204,9173.824,0.07199411,216.443,4472.982
688,43.422415,152.064883,9155.925,9186.587,0.07201423,216.398,4473.320
689,43.331679,151.969119,9168.641,9199.346,0.07203429,216.354,4473.656
690,43.241133,151.873244,9181.353,9212.101,0.07205442,216.310,4473.996
691,43.150778,151.777256,9194.061,9224.851,0.07207442,216.266,4474.327
692,43.060615,151.681155,9206.764,9237.597,0.07209451,216.222,4474.664
693,42.970644,151.584938,9219.464,9250.339,0.07211459,216.178,4475.000
694,42.880863,151.488605,9232.160,9263.077,0.07213433,216.135,4475.317
695,42.791273,151.392158,9244.852,9275.812,0.07215429,216.091,4475.648
696,42.701870,151.295596,9257.540,9288.543,0.07217419,216.047,4475.974
697,42.612653,151.198919,9270.226,9301.271,0.07219389,216.003,4476.289
698,42.523621,151.102129,9282.908,9313.995,0.07221373,215.959,4476.613
699,42.434771,151.005227,9295.587,9326.717,0.07223338,215.916,4476.924
700,42.346103,150.908211,9308.263,9339.436,0.07225282,215.872,4477.224
701,42.257614,150.811084,9320.937,9352.152,0.07227268,215.828,4477.550
702,42.169302,150.713846,9333.608,9364.865,0.07229207,215.785,4477.848
703,42.081167,150.616496,9346.277,9377.577,0.07231174,215.741,4478.164
704,41.993206,150.519037,9358.944,9390.286,0.07233114,215.698,4478.463
705,41.905418,150.421468,9371.608,9402.993,0.07235040,215.655,4478.753
706,41.817801,150.323790,9384.271,9415.698,0.07236989,215.611,4479.060
707,41.730354,150.226004,9396.933,9428.402,0.07238903,215.568,4479.345
708,41.643074,150.128109,9409.592,9441.104,0.07240839,215.525,4479.642
709,41.555961,150.030108,9422.251,9453.805,0.07242775,215.481,4479.943
710,41.469013,149.931999,9434.908,9466.505,0.07244691,215.438,4480.230
711,41.382228,149.833785,9447.564,9479.203,0.07246602,215.395,4480.516
712,41.295604,149.735465,9460.219,9491.901,0.07248519,215.352,4480.806
713,41.209140,149.637041,9472.874,9504.598,0.07250408,215.309,4481.080
714,41.122834,149.538512,9485.528,9517.294,0.07252307,215.266,4481.361
715,41.036686,149.439879,9498.181,9529.990,0.07254212,215.224,4481.646
716,40.950692,149.341143,9510.834,9542.685,0.07256098,215.181,4481.919
717,40.864852,149.242305,9523.487,9555.381,0.07257991,215.138,4482.198
718,40.779165,149.143365,9536.140,9568.076,0.07259864,215.095,4482.466
719,40.693628,149.044324,9548.793,9580.771,0.07261743,215.053,4482.737
720,40.608240,148.945182,9561.446,9593.467,0.07263623,215.010,4483.011
721,40.522999,148.845940,9574.100,9606.163,0.07265492,214.968,4483.278
722,40.437905,148.746599,9586.754,9618.859,0.07267353,214.925,4483.542
723,40.352955,148.647160,9599.409,9631.556,0.07269214,214.883,4483.806
724,40.268148,148.547622,9612.064,9644.254,0.07271070,214.841,4484.068
725,40.183482,148.447986,9624.721,9656.953,0.07272919,214.798,4484.327
726,40.098956,148.348254,9637.378,9669.653,0.07274762,214.756,4484.583
727,40.014569,148.248426,9650.036,9682.354,0.07276626,214.714,4484.853
728,39.930319,148.148502,9662.696,9695.056,0.07278442,214.672,4485.095
729,39.846205,148.048484,9675.357,9707.759,0.07280286,214.630,4485.355
730,39.762225,147.948371,9688.019,9720.464,0.07282124,214.588,4485.612
731,39.678377,147.848165,9700.684,9733.170,0.07283936,214.546,4485.852
732,39.594661,147.747866,9713.349,9745.879,0.07285775,214.505,4486.113
733,39.511074,147.647474,9726.017,9758.589,0.07287566,214.463,4486.344
734,39.427615,147.546992,9738.686,9771.301,0.07289392,214.421,4486.597
735,39.344284,147.446418,9751.358,9784.015,0.07291205,214.380,4486.844
736,39.261078,147.345754,9764.032,9796.731,0.07293011,214.338,4487.087
737,39.177996,147.245001,9776.708,9809.449,0.07294799,214.297,4487.320
738,39.095037,147.144158,9789.386,9822.170,0.07296612,214.256,4487.571
739,39.012199,147.043228,9802.067,9834.893,0.07298386,214.215,4487.797
740,38.929481,146.942210,9814.750,9847.619,0.07300167,214.173,4488.030
741,38.846881,146.841106,9827.436,9860.347,0.07301962,214.132,4488.273
742,38.764399,146.739915,9840.125,9873.078,0.07303745,214.091,4488.509
743,38.682032,146.638639,9852.816,9885.812,0.07305507,214.050,4488.732
744,38.599779,146.537279,9865.511,9898.549,0.07307282,214.009,4488.966
745,38.517640,146.435834,9878.208,9911.289,0.07309060,213.969,4489.203
746,38.435612,146.334307,9890.909,9924.032,0.07310822,213.928,4489.431
747,38.353695,146.232696,9903.612,9936.779,0.07312586,213.887,4489.662
748,38.271887,146.131004,9916.319,9949.528,0.07314330,213.847,4489.882
749,38.190186,146.029231,9929.030,9962.281,0.07316081,213.806,4490.106
750,38.108592,145.927377,9941.744,9975.038,0.07317832,213.766,4490.332
751,38.027103,145.825444,9954.461,9987.798,0.07319563,213.726,4490.547
752,37.945717,145.723432,9967.182,10000.561,0.07321309,213.685,4490.771
753,37.864435,145.621342,9979.907,10013.329,0.07323040,213.645,4490.990
754,37.783253,145.519174,9992.635,10026.100,0.07324766,213.605,4491.205
755,37.702171,145.416929,10005.367,10038.875,0.07326491,213.565,4491.421
756,37.621187,145.314609,10018.104,10051.654,0.07328211,213.525,4491.636
757,37.540302,145.212213,10030.844,10064.436,0.07329938,213.485,4491.856
758,37.459512,145.109743,10043.588,10077.223,0.07331637,213.446,4492.061
759,37.378817,145.007199,10056.337,10090.015,0.07333344,213.406,4492.271
760,37.298215,144.904582,10069.089,10102.810,0.07335044,213.366,4492.479
761,37.217706,144.801892,10081.846,10115.609,0.07336774,213.327,4492.705
762,37.137288,144.699132,10094.607,10128.413,0.07338469,213.287,4492.913
763,37.056960,144.596300,10107.373,10141.222,0.07340162,213.248,4493.121
764,36.976720,144.493399,10120.143,10154.034,0.07341851,213.209,4493.327
765,36.896568,144.390428,10132.917,10166.852,0.07343526,213.170,4493.526
766,36.816502,144.287389,10145.697,10179.674,0.07345201,213.130,4493.726
767,36.736522,144.184283,10158.480,10192.500,0.07346906,213.091,4493.946
768,36.656625,144.081109,10171.269,10205.331,0.07348574,213.052,4494.145
769,36.576810,143.977869,10184.062,10218.167,0.07350236,213.014,4494.341
770,36.497078,143.874564,10196.860,10231.008,0.07351907,212.975,4494.545
771,36.417425,143.771195,10209.663,10243.854,0.07353549,212.936,4494.731
772,36.337852,143.667762,10222.470,10256.704,0.07355213,212.897,4494.934
773,36.258357,143.564266,10235.283,10269.560,0.07356878,212.859,4495.138
774,36.178938,143.460707,10248.100,10282.420,0.07358522,212.820,4495.330
775,36.099596,143.357088,10260.923,10295.286,0.07360166,212.782,4495.524
776,36.020328,143.253407,10273.751,10308.157,0.07361819,212.744,4495.726
777,35.941133,143.149667,10286.583,10321.032,0.07363456,212.706,4495.917
778,35.862011,143.045868,10299.421,10333.913,0.07365088,212.668,4496.108
779,35.782960,142.942011,10312.265,10346.800,0.07366721,212.630,4496.300
780,35.703979,142.838097,10325.113,10359.691,0.07368338,212.592,4496.486
781,35.625067,142.734126,10337.967,10372.588,0.07369965,212.554,4496.677
782,35.546223,142.630099,10350.826,10385.490,0.07371584,212.516,4496.866
783,35.467446,142.526017,10363.690,10398.397,0.07373190,212.478,4497.048
784,35.388735,142.421882,10376.560,10411.310,0.07374816,212.441,4497.245
785,35.310088,142.317693,10389.435,10424.228,0.07376416,212.403,4497.426
786,35.231505,142.213452,10402.315,10437.152,0.07378016,212.366,4497.609
787,35.152985,142.109159,10415.201,10450.081,0.07379630,212.328,4497.802
788,35.074526,142.004815,10428.093,10463.016,0.07381216,212.291,4497.979
789,34.996128,141.900421,10440.990,10475.956,0.07382812,212.254,4498.164
790,34.917789,141.795978,10453.892,10488.902,0.07384399,212.217,4498.345
791,34.839508,141.691487,10466.800,10501.853,0.07385973,212.180,4498.521
792,34.761285,141.586949,10479.714,10514.810,0.07387561,212.143,4498.705
793,34.683118,141.482364,10492.633,10527.773,0.07389128,212.106,4498.878
794,34.605007,141.377733,10505.558,10540.741,0.07390711,212.070,4499.062
795,34.526950,141.273058,10518.489,10553.715,0.07392272,212.033,4499.236
796,34.448946,141.168338,10531.425,10566.694,0.07393848,211.996,4499.418
797,34.370995,141.063575,10544.367,10579.680,0.07395403,211.960,4499.590
798,34.293095,140.958770,10557.315,10592.671,0.07396959,211.923,4499.764
799,34.215246,140.853923,10570.269,10605.668,0.07398514,211.887,4499.940
800,34.137446,140.749036,10583.228,10618.670,0.07400057,211.851,4500.108
801,34.059695,140.644109,10596.193,10631.679,0.07401614,211.815,4500.288
802,33.981991,140.539143,10609.163,10644.693,0.07403156,211.779,4500.460
803,33.904333,140.434139,10622.140,10657.713,0.07404686,211.743,4500.625
804,33.826722,140.329098,10635.122,10670.738,0.07406222,211.707,4500.797
805,33.749155,140.224020,10648.110,10683.770,0.07407745,211.671,4500.963
806,33.671632,140.118907,10661.104,10696.807,0.07409283,211.635,4501.137
807,33.594151,140.013760,10674.103,10709.850,0.07410793,211.600,4501.298
808,33.516713,139.908579,10687.109,10722.899,0.07412317,211.564,4501.468
809,33.439316,139.803365,10700.120,10735.954,0.07413848,211.529,4501.645
810,33.361958,139.698119,10713.137,10749.015,0.07415337,211.494,4501.796
811,33.284641,139.592842,10726.160,10762.081,0.07416856,211.458,4501.968
812,33.207361,139.487535,10739.188,10775.153,0.07418346,211.423,4502.124
813,33.130119,139.382199,10752.223,10788.231,0.07419857,211.388,4502.294
814,33.052913,139.276834,10765.263,10801.315,0.07421334,211.353,4502.444
815,32.975743,139.171442,10778.309,10814.405,0.07422832,211.318,4502.610
816,32.898608,139.066023,10791.361,10827.500,0.07424310,211.284,4502.766
817,32.821507,138.960578,10804.419,10840.602,0.07425810,211.249,4502.935
818,32.744440,138.855109,10817.482,10853.709,0.07427281,211.214,4503.089
819,32.667404,138.749616,10830.551,10866.822,0.07428753,211.180,4503.246
820,32.590400,138.644099,10843.626,10879.941,0.07430238,211.145,4503.412
821,32.513427,138.538561,10856.707,10893.065,0.07431704,211.111,4503.565
822,32.436483,138.433001,10869.793,10906.195,0.07433161,211.077,4503.718
823,32.359568,138.327421,10882.885,10919.331,0.07434634,211.042,4503.881
824,32.282682,138.221821,10895.983,10932.473,0.07436087,211.008,4504.034
825,32.205823,138.116203,10909.087,10945.621,0.07437532,210.974,4504.183
826,32.128990,138.010568,10922.196,10958.774,0.07438992,210.940,4504.344
827,32.052184,137.904915,10935.311,10971.933,0.07440431,210.907,4504.492
828,31.975402,137.799247,10948.432,10985.097,0.07441869,210.873,4504.643
